id;date_identification;description;pilote;type;bu;commentaire;afficher
1;2021-04-03;Right-sized Incredible;Thaïlande client-server SCSI;FAIBLESSE;cohesive Comores c;vortals;false
2;2021-04-03;Cotton b Pants;PNG program Cross-platform;MENACE;red Grocery area;Russian Practical Adaptive;true
3;2021-04-03;TCP Refined;hacking;FAIBLESSE;Turkménistan needs-based architect;bypassing PCI;false
4;2021-04-02;Poitou-Charentes distributed;b Shilling input;OPPORTUNITE;Zealand administration;Dollar black;false
5;2021-04-03;methodology Salad;Analyste;MENACE;networks indigo;auxiliary;false
6;2021-04-03;Bangladesh deploy;Unbranded hack Interface;FORCE;Stagiaire Rhône-Alpes;a global b;true
7;2021-04-02;c;Automotive;OPPORTUNITE;deposit;Refined Handmade;false
8;2021-04-02;copying;Allemagne;FAIBLESSE;Fresh Agent;Small mobile Generic;false
9;2021-04-03;24/7 Gloves;compress;MENACE;SSL hack;JSON Refined;true
10;2021-04-03;de;Investment Administrateur model;FAIBLESSE;Tools c;transmitting Account green;true
