id;date_audit;type_audit;standard;i_d;statut;conclusion
1;2021-04-03;Interne;ISO9001;XSS;PLANIFIE;calculate Chicken virtual
2;2021-04-02;Interne;ISO9001;B2B Awesome explicit;Retard;Picardie Borders
3;2021-04-02;Externe;ISO14001;Basse-Normandie redefine;Retard;state
4;2021-04-02;Externe;ISO14001;Producteur;PLANIFIE;digital
5;2021-04-03;Interne;ISO45001;hack violet Rubber;REALISE;panel
6;2021-04-02;Externe;ISO45001;Consultant structure;PLANIFIE;Books portals
7;2021-04-03;Interne;ISO14001;Table;PLANIFIE;Cambridgeshire
8;2021-04-02;Externe;ISO9001;bus SDR Zealand;Retard;end-to-end
9;2021-04-02;Interne;ISO9001;impactful;PLANIFIE;compelling Monsieur-le-Prince
10;2021-04-02;Interne;ISO45001;Haute-Normandie compress;PLANIFIE;Developpeur Leu Limousin
