id;date_identification;indicateur;formule_calcul;cible;seuil_tolerance;unite;periodicite;observations;vigueur
1;2021-04-02;Metal Cambridgeshire holistic;Chicken;12819;16242;e-tailers c;reboot;Pants;false
2;2021-04-02;compressing;SCSI;26678;97261;functionalities turn-key;deliverables green Analyste;Administrateur Progressive;true
3;2021-04-02;best-of-breed c Chair;of streamline Saint-Séverin;99679;46489;e-commerce;de Syrie Generic;Buckinghamshire Basse-Normandie;true
4;2021-04-02;payment;Fresh Awesome Dollar;50774;91739;a;index Borders Nord-Pas-de-Calais;Cambridgeshire Shoes;true
5;2021-04-03;Dollar visualize;synergize Bacon;78445;39596;a Account sensor;engineer workforce;Generic invoice;true
6;2021-04-02;quantifying;a b a;57830;73243;bottom-line;copying override;d'Orsel;false
7;2021-04-02;Table Small redundant;d'Orsel JBOD;29799;50476;d'Assas;Rubber state e-markets;Granite portal;false
8;2021-04-02;Rustic Account Sleek;Polarised;77125;84502;Toys markets;Licensed technologies bus;b e-services XML;true
9;2021-04-03;Executif;AGP Refined;51816;92855;connecting;conglomeration Aquitaine;c Syrian;false
10;2021-04-02;revolutionary Syrie a;Mouse;61936;36968;de Shoes yellow;deposit;Administrateur;true
